"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 28 03:02:43 UTC 2024","Sun Jan 28 03:02:44 UTC 2024","1189","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Sun Jan 28 02:39:54 UTC 2024","Sun Jan 28 02:40:47 UTC 2024","53864","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Sun Jan 28 02:37:00 UTC 2024","Sun Jan 28 02:37:08 UTC 2024","7639","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Sun Jan 28 04:55:58 UTC 2024","Sun Jan 28 04:56:09 UTC 2024","10816","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Sun Jan 28 03:24:02 UTC 2024","Sun Jan 28 03:24:05 UTC 2024","2946","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Jan 28 02:58:18 UTC 2024","Sun Jan 28 02:58:19 UTC 2024","823","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sun Jan 28 04:22:54 UTC 2024","Sun Jan 28 04:24:04 UTC 2024","70125","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Sun Jan 28 02:45:40 UTC 2024","Sun Jan 28 02:45:57 UTC 2024","16443","","6. Company Account","","","","1. Validate login credentials",""
"passed","Sun Jan 28 03:29:50 UTC 2024","Sun Jan 28 03:29:53 UTC 2024","3566","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Sun Jan 28 02:23:29 UTC 2024","Sun Jan 28 02:23:56 UTC 2024","26816","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Sun Jan 28 02:30:44 UTC 2024","Sun Jan 28 02:30:48 UTC 2024","3861","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Sun Jan 28 03:54:51 UTC 2024","Sun Jan 28 03:54:58 UTC 2024","6942","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sun Jan 28 02:46:21 UTC 2024","Sun Jan 28 02:46:24 UTC 2024","2805","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sun Jan 28 02:38:50 UTC 2024","Sun Jan 28 02:39:44 UTC 2024","53707","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Sun Jan 28 03:52:53 UTC 2024","Sun Jan 28 03:53:07 UTC 2024","13900","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Sun Jan 28 02:30:48 UTC 2024","Sun Jan 28 02:30:48 UTC 2024","223","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Sun Jan 28 03:30:04 UTC 2024","Sun Jan 28 03:30:07 UTC 2024","3314","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Sun Jan 28 02:24:20 UTC 2024","Sun Jan 28 02:24:24 UTC 2024","4616","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Sun Jan 28 04:22:23 UTC 2024","Sun Jan 28 04:22:26 UTC 2024","2971","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Sun Jan 28 02:28:45 UTC 2024","Sun Jan 28 02:28:53 UTC 2024","8111","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Sun Jan 28 03:02:28 UTC 2024","Sun Jan 28 03:02:43 UTC 2024","14277","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sun Jan 28 02:43:41 UTC 2024","Sun Jan 28 02:43:44 UTC 2024","2882","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Jan 28 02:29:24 UTC 2024","Sun Jan 28 02:29:32 UTC 2024","8124","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Sun Jan 28 02:57:13 UTC 2024","Sun Jan 28 02:57:26 UTC 2024","13500","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sun Jan 28 02:25:06 UTC 2024","Sun Jan 28 02:25:24 UTC 2024","18433","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Sun Jan 28 03:53:07 UTC 2024","Sun Jan 28 03:53:13 UTC 2024","6223","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Sun Jan 28 02:43:01 UTC 2024","Sun Jan 28 02:43:10 UTC 2024","9102","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sun Jan 28 02:28:53 UTC 2024","Sun Jan 28 02:28:58 UTC 2024","4171","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Jan 28 02:28:58 UTC 2024","Sun Jan 28 02:29:17 UTC 2024","19180","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Jan 28 02:39:46 UTC 2024","Sun Jan 28 02:39:51 UTC 2024","4503","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Sun Jan 28 02:30:58 UTC 2024","Sun Jan 28 02:30:59 UTC 2024","698","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sun Jan 28 03:02:44 UTC 2024","Sun Jan 28 03:02:49 UTC 2024","4879","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Sun Jan 28 02:38:47 UTC 2024","Sun Jan 28 02:38:50 UTC 2024","2809","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Jan 28 02:34:59 UTC 2024","Sun Jan 28 02:35:03 UTC 2024","3889","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Jan 28 03:30:01 UTC 2024","Sun Jan 28 03:30:04 UTC 2024","2720","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Sun Jan 28 03:53:13 UTC 2024","Sun Jan 28 03:53:14 UTC 2024","323","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sun Jan 28 02:44:04 UTC 2024","Sun Jan 28 02:44:08 UTC 2024","3332","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Jan 28 02:57:27 UTC 2024","Sun Jan 28 02:57:38 UTC 2024","10914","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sun Jan 28 02:21:19 UTC 2024","Sun Jan 28 02:21:39 UTC 2024","19899","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Jan 28 02:42:44 UTC 2024","Sun Jan 28 02:43:01 UTC 2024","16118","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Jan 28 03:00:36 UTC 2024","Sun Jan 28 03:00:36 UTC 2024","351","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Sun Jan 28 03:53:14 UTC 2024","Sun Jan 28 03:53:24 UTC 2024","10106","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Sun Jan 28 04:24:04 UTC 2024","Sun Jan 28 04:24:08 UTC 2024","3501","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
